CASE#,DATE  OF OCCURRENCE,BLOCK, IUCR, PRIMARY DESCRIPTION, SECONDARY DESCRIPTION, LOCATION DESCRIPTION,ARREST,DOMESTIC,BEAT,WARD,FBI CD,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
HX418645,9/6/2014 23:50,064XX N SHERIDAN RD,2024,NARCOTICS,POSS: HEROIN(WHITE),APARTMENT,Y,N,2432,49,18,1167126,1943210,41.99972985,-87.66053641,"(41.999729847145694, -87.66053640940684)"
HX453486,9/7/2014 0:00,016XX W FARWELL AVE,820,THEFT,$500 AND UNDER,APARTMENT,N,N,2431,49,6,1164187,1945650,42.00648812,-87.67127882,"(42.006488123788515, -87.67127881556367)"
HX420002,9/7/2014 12:00,017XX W WALLEN AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2432,49,7,1163711,1944268,42.00270597,-87.67306929,"(42.00270597059868, -87.6730692942362)"
HX419529,9/7/2014 15:23,063XX N RAVENSWOOD AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,OTHER,N,N,2433,50,26,1163021,1942187,41.99701022,-87.67566655,"(41.997010222962736, -87.67566654979446)"
HX421272,9/7/2014 15:40,062XX N OAKLEY AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,N,N,2413,50,26,1159895,1941347,41.99477054,-87.68718915,"(41.99477053915862, -87.68718915245341)"
HX421955,9/7/2014 16:00,070XX N GREENVIEW AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,N,N,2423,49,7,1165048,1946885,42.00985867,-87.66807578,"(42.009858673283645, -87.66807577682133)"
HX419420,9/7/2014 16:30,067XX N CLARK ST,560,ASSAULT,SIMPLE,SIDEWALK,N,N,2432,49,08A,1163793,1944695,42.00387593,-87.6727555,"(42.00387593324675, -87.67275550314754)"
HX419652,9/7/2014 20:06,064XX N RIDGE BLVD,486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT/GARAGE(NON.RESID.),N,Y,2412,50,08B,1162639,1942586,41.99811313,-87.67706052,"(41.99811313280083, -87.6770605215124)"
HX419755,9/7/2014 21:30,064XX N BELL AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,N,Y,2412,50,08B,1160095,1942898,41.99902239,-87.68641036,"(41.99902239332144, -87.68641035553821)"
HX419914,9/8/2014 1:20,067XX N ASHLAND AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,N,2432,40,08B,1164434,1944613,42.00363733,-87.67039961,"(42.00363732823739, -87.67039961263019)"
HX426990,9/8/2014 3:00,016XX W MORSE AVE,910,MOTOR VEHICLE THEFT,AUTOMOBILE,SIDEWALK,N,N,2431,49,7,1164301,1946098,42.00771503,-87.67084664,"(42.007715025409155, -87.67084664002452)"
HX425338,9/8/2014 8:00,013XX W ALBION AVE,810,THEFT,OVER $500,OTHER,N,N,2432,40,6,1165960,1944145,42.00232057,-87.66479896,"(42.00232056692606, -87.66479895894813)"
HX420073,9/8/2014 8:01,069XX N RIDGE BLVD,4310,OTHER OFFENSE,POSSESSION OF BURGLARY TOOLS,ALLEY,Y,N,2424,49,26,1161406,1946328,42.00840713,-87.6814915,"(42.00840713058154, -87.6814915013376)"
HX420834,9/8/2014 9:00,017XX W DEVON AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,2432,40,5,1163754,1942605,41.99814175,-87.67295829,"(41.99814174621785, -87.67295828698286)"
HX448766,9/8/2014 10:00,021XX W PETERSON AVE,1150,DECEPTIVE PRACTICE,CREDIT CARD FRAUD,DEPARTMENT STORE,N,N,2413,40,11,1161125,1939885,41.9907332,-87.6827055,"(41.990733204008954, -87.68270549945905)"
HX422177,9/8/2014 12:01,021XX W DEVON AVE,2826,OTHER OFFENSE,HARASSMENT BY ELECTRONIC MEANS,OTHER,N,N,2412,50,26,1160653,1942505,41.9979324,-87.68436859,"(41.99793240169116, -87.68436859210469)"
HX420517,9/8/2014 13:24,067XX N NEWGARD AVE,2027,NARCOTICS,POSS: CRACK,SIDEWALK,Y,N,2432,40,18,1165325,1945207,42.0052483,-87.66710465,"(42.005248298488645, -87.66710465025353)"
HX420824,9/8/2014 15:30,063XX N BELL AVE,610,BURGLARY,FORCIBLE ENTRY,APARTMENT,N,N,2413,50,5,1160123,1942065,41.99673603,-87.68633051,"(41.99673603244565, -87.68633050613077)"
HX421094,9/8/2014 16:30,013XX W GREENLEAF AVE,1242,DECEPTIVE PRACTICE,COMPUTER FRAUD,APARTMENT,N,N,2423,49,11,1166062,1947039,42.01025957,-87.66434052,"(42.01025956864729, -87.66434051757153)"
HX430216,9/8/2014 18:00,062XX N BROADWAY,870,THEFT,POCKET-PICKING,GROCERY FOOD STORE,N,N,2433,49,6,1167209,1941574,41.99523884,-87.66027838,"(41.995238840759136, -87.66027838086475)"
HX421136,9/8/2014 18:30,011XX W FARWELL AVE,460,BATTERY,SIMPLE,SIDEWALK,N,N,2431,49,08B,1167345,1945745,42.0066812,-87.65965739,"(42.00668120479164, -87.6596573893903)"
HX420971,9/8/2014 18:55,067XX N SHERIDAN RD,560,ASSAULT,SIMPLE,RESIDENCE PORCH/HALLWAY,N,N,2432,49,08A,1166989,1944906,42.00438665,-87.6609914,"(42.004386654528155, -87.66099140226704)"
HX421469,9/8/2014 19:00,011XX W THORNDALE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,OTHER,N,N,2433,48,14,1167319,1939713,41.99012984,-87.65992758,"(41.990129842835316, -87.65992758031372)"
HX420987,9/8/2014 19:25,062XX N WAYNE AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,N,Y,2433,48,08B,1166118,1941788,41.99584952,-87.66428545,"(41.99584952202394, -87.66428544876847)"
HX421074,9/8/2014 20:15,066XX N CLARK ST,470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,Y,N,2432,49,24,1163921,1944522,42.00339851,-87.67228951,"(42.00339850624903, -87.67228950761364)"
HX428011,9/8/2014 21:00,013XX W DEVON AVE,460,BATTERY,SIMPLE,ALLEY,N,N,2432,40,08B,1165857,1942661,41.99825065,-87.66522048,"(41.998250645665365, -87.66522048433255)"
HX428273,9/8/2014 21:10,010XX W LOYOLA AVE,810,THEFT,OVER $500,RESIDENCE PORCH/HALLWAY,N,N,2432,49,6,1167907,1943848,42.00146365,-87.6576448,"(42.00146365447451, -87.65764479806015)"
HX422440,9/8/2014 22:00,064XX N RIDGE BLVD,1320,CRIMINAL DAMAGE,TO VEHICLE,PARKING LOT/GARAGE(NON.RESID.),N,N,2412,50,14,1162563,1942803,41.99871019,-87.67733398,"(41.998710185095575, -87.67733398344316)"
HX421216,9/8/2014 22:30,063XX N BELL AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,Y,Y,2413,50,14,1160123,1942046,41.9966839,-87.68633103,"(41.996683895788586, -87.68633103423399)"
HX421307,9/9/2014 1:00,062XX N ARTESIAN AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,Y,2413,50,08B,1158889,1941556,41.99536481,-87.69088393,"(41.99536481297861, -87.69088392507652)"
HX421288,9/9/2014 1:08,059XX N PAULINA ST,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,2012,40,14,1164188,1939501,41.98961509,-87.67145001,"(41.989615088338816, -87.67145000932645)"
HX421309,9/9/2014 1:30,021XX W HOOD AVE,560,ASSAULT,SIMPLE,APARTMENT,Y,Y,2413,40,08A,1160998,1940681,41.9929201,-87.68315041,"(41.99292010269611, -87.68315040564826)"
HX421626,9/9/2014 1:30,064XX N WAYNE AVE,620,BURGLARY,UNLAWFUL ENTRY,APARTMENT,N,N,2432,40,5,1166131,1943209,41.9997485,-87.66419678,"(41.99974849837614, -87.66419678010763)"
HX421373,9/9/2014 5:51,011XX W MORSE AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,APARTMENT,N,N,2431,49,14,1167016,1946180,42.00788195,-87.66085525,"(42.00788194904439, -87.6608552531275)"
HX421579,9/9/2014 10:17,009XX W HOLLYWOOD AVE,031A,ROBBERY,ARMED: HANDGUN,PARK PROPERTY,N,N,2022,48,3,1169044,1938084,41.98562244,-87.65363028,"(41.985622437658, -87.65363027828144)"
HX421764,9/9/2014 12:15,016XX W GREENLEAF AVE,1130,DECEPTIVE PRACTICE,FRAUD OR CONFIDENCE GAME,RESIDENCE,N,N,2423,49,11,1164055,1947057,42.01035176,-87.67172446,"(42.01035176129459, -87.67172445542788)"
HX422029,9/9/2014 13:00,015XX W NORWOOD ST,810,THEFT,OVER $500,RESIDENTIAL YARD (FRONT/BACK),N,N,2433,48,6,1164956,1940234,41.99161014,-87.66860426,"(41.99161013854854, -87.66860425705586)"
HX421853,9/9/2014 13:38,017XX W GREENLEAF AVE,1811,NARCOTICS,POSS: CANNABIS 30GMS OR LESS,STREET,Y,N,2423,49,18,1163771,1946970,42.01011905,-87.67277186,"(42.01011904958691, -87.67277186211993)"
HX422078,9/9/2014 15:29,010XX W HOLLYWOOD AVE,2027,NARCOTICS,POSS: CRACK,APARTMENT,Y,N,2022,48,18,1168320,1937999,41.98540493,-87.65629556,"(41.98540493121643, -87.65629556190542)"
HX426993,9/9/2014 18:00,067XX N GREENVIEW AVE,820,THEFT,$500 AND UNDER,STREET,N,N,2432,40,6,1165087,1944924,42.00447682,-87.66798836,"(42.0044768193822, -87.66798835711185)"
HX422458,9/9/2014 18:00,058XX N CAMPBELL AVE,560,ASSAULT,SIMPLE,STREET,N,N,2011,40,08A,1158642,1938774,41.98773598,-87.69186917,"(41.987735975066606, -87.69186917011487)"
HX422947,9/9/2014 20:30,063XX N SHERIDAN RD,420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,N,N,2433,49,04B,1168432,1942347,41.9973335,-87.65575711,"(41.99733350096143, -87.65575710921807)"
HX422869,9/9/2014 21:30,057XX N CAMPBELL AVE,810,THEFT,OVER $500,VEHICLE NON-COMMERCIAL,N,N,2011,40,6,1158577,1938273,41.98636255,-87.69212204,"(41.98636254552487, -87.69212204050999)"
HX423060,9/10/2014 0:01,012XX W BRYN MAWR AVE,810,THEFT,OVER $500,STREET,N,N,2013,48,6,1166986,1937373,41.983716,-87.66121996,"(41.98371600202679, -87.66121995907527)"
HX422711,9/10/2014 4:31,011XX W GRANVILLE AVE,1350,CRIMINAL TRESPASS,TO STATE SUP LAND,CTA STATION,Y,N,2433,48,26,1167512,1941291,41.99445574,-87.659172,"(41.9944557425133, -87.65917199882583)"
HX452052,9/10/2014 9:00,017XX W ESTES AVE,5093,NON-CRIMINAL,LOST PASSPORT,RESIDENCE,N,N,2423,49,26,1163737,1947412,42.01133263,-87.67288441,"(42.01133262647956, -87.67288441302813)"
HX423364,9/10/2014 16:53,062XX N WINTHROP AVE,486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,Y,N,2433,48,08B,1167688,1941530,41.99510776,-87.65851767,"(41.995107759376445, -87.65851766737516)"
HX423445,9/10/2014 17:15,062XX N WINTHROP AVE,3710,INTERFERENCE WITH PUBLIC OFFICER,RESIST/OBSTRUCT/DISARM OFFICER,RESIDENCE PORCH/HALLWAY,Y,N,2433,48,24,1167688,1941530,41.99510776,-87.65851767,"(41.995107759376445, -87.65851766737516)"
HX423607,9/10/2014 19:45,009XX W ARDMORE AVE,320,ROBBERY,STRONGARM - NO WEAPON,PARK PROPERTY,N,N,2022,48,3,1168826,1938761,41.98748488,-87.65441233,"(41.98748488491861, -87.6544123259969)"
HX424023,9/10/2014 21:30,018XX W FARWELL AVE,820,THEFT,$500 AND UNDER,STREET,N,N,2424,49,6,1162898,1945691,42.00662788,-87.67602006,"(42.006627883296424, -87.67602006055967)"
